term_str,n,n_chars,p,i,max_pos,n_pos,stop,stem_porter,stem_snowball,stem_lancaster,dfidf
'original,1,9,3.559440883026094e-06,18.099917928872767,VB,1,0,'origin,origin,'original,8.189824558880018
1500s,1,5,3.559440883026094e-06,18.099917928872767,NNS,1,0,1500,1500s,1500s,8.189824558880018
1560s,1,5,3.559440883026094e-06,18.099917928872767,NNS,1,0,1560,1560s,1560s,8.189824558880018
[note,1,5,3.559440883026094e-06,18.099917928872767,VBP,1,0,[note,[note,[note,8.189824558880018
[they],1,6,3.559440883026094e-06,18.099917928872767,NN,1,0,[they],[they],[they],8.189824558880018
]women,1,6,3.559440883026094e-06,18.099917928872767,NNS,1,0,]women,]women,]women,8.189824558880018
aaaah,1,5,3.559440883026094e-06,18.099917928872767,VBP,1,0,aaaah,aaaah,aaaah,8.189824558880018
aaron,26,5,9.254546295867844e-05,13.399478210731676,NN,6,0,aaron,aaron,aaron,77.3579292798531
abandon,2,7,7.118881766052188e-06,17.099917928872767,VB,1,0,abandon,abandon,abandon,14.379649117760035
abandoned,13,9,4.627273147933922e-05,14.399478210731676,VBN,3,0,abandon,abandon,abandon,45.17909601693934
abandoning,1,10,3.559440883026094e-06,18.099917928872767,VBG,1,0,abandon,abandon,abandon,8.189824558880018
abandonment,1,11,3.559440883026094e-06,18.099917928872767,NN,1,0,abandon,abandon,abandon,8.189824558880018
abandons,1,8,3.559440883026094e-06,18.099917928872767,VBZ,1,0,abandon,abandon,abandon,8.189824558880018
abating,1,7,3.559440883026094e-06,18.099917928872767,VBG,1,0,abat,abat,ab,8.189824558880018
abbey,3,5,1.0678322649078282e-05,16.514955428151612,NN,1,0,abbey,abbey,abbey,19.81458617447658
abducts,1,7,3.559440883026094e-06,18.099917928872767,VBZ,1,0,abduct,abduct,abduc,8.189824558880018
abels,2,5,7.118881766052188e-06,17.099917928872767,NNS,1,0,abel,abel,abel,8.189824558880018
abides,1,6,3.559440883026094e-06,18.099917928872767,VBN,1,0,abid,abid,abid,8.189824558880018
abilities,10,9,3.5594408830260944e-05,14.777989833985403,NNS,2,0,abil,abil,abl,41.51859647104014
ability,40,7,0.000142377635321,12.777989833985403,NN,1,0,abil,abil,abl,105.48029839940904
abounds,1,7,3.559440883026094e-06,18.099917928872767,VBZ,1,0,abound,abound,abound,8.189824558880018
abraham,1,7,3.559440883026094e-06,18.099917928872767,NN,1,0,abraham,abraham,abraham,8.189824558880018
abridged,5,8,1.7797204415130472e-05,15.777989833985403,VBN,2,0,abridg,abridg,abridg,24.75929823552007
abrogate,1,8,3.559440883026094e-06,18.099917928872767,VBP,1,0,abrog,abrog,abrog,8.189824558880018
abs,1,3,3.559440883026094e-06,18.099917928872767,NN,1,0,ab,ab,ab,8.189824558880018
absconds,1,8,3.559440883026094e-06,18.099917928872767,VBZ,1,0,abscond,abscond,abscond,8.189824558880018
absence,3,7,1.0678322649078282e-05,16.514955428151612,NN,1,0,absenc,absenc,abs,19.81458617447658
absolutes,1,9,3.559440883026094e-06,18.099917928872767,NNS,1,0,absolut,absolut,absolv,8.189824558880018
absolution,1,10,3.559440883026094e-06,18.099917928872767,NN,1,0,absolut,absolut,absolv,8.189824558880018
absolve,1,7,3.559440883026094e-06,18.099917928872767,VB,1,0,absolv,absolv,absolv,8.189824558880018
absolved,1,8,3.559440883026094e-06,18.099917928872767,VBN,1,0,absolv,absolv,absolv,8.189824558880018
absorbed,6,8,2.1356645298156564e-05,15.51495542815161,VBN,3,0,absorb,absorb,absorb,29.339482319963274
absorbs,1,7,3.559440883026094e-06,18.099917928872767,VB,1,0,absorb,absorb,absorb,8.189824558880018
absorption,4,10,1.4237763532104376e-05,16.099917928872767,NN,1,0,absorpt,absorpt,absorb,24.75929823552007
abstains,1,8,3.559440883026094e-06,18.099917928872767,VBZ,1,0,abstain,abstain,abstain,8.189824558880018
abstinence,1,10,3.559440883026094e-06,18.099917928872767,NN,1,0,abstin,abstin,abstin,8.189824558880018
abstraction,1,11,3.559440883026094e-06,18.099917928872767,NN,1,0,abstract,abstract,abstract,8.189824558880018
abstruse,1,8,3.559440883026094e-06,18.099917928872767,NN,1,0,abstrus,abstrus,abstrus,8.189824558880018
absurdity,15,9,5.3391613245391416e-05,14.193027333264247,NN,2,0,absurd,absurd,absurd,61.35457491551378
abundance,4,9,1.4237763532104376e-05,16.099917928872767,NN,1,0,abund,abund,abund,24.75929823552007
abuse,4,5,1.4237763532104376e-05,16.099917928872767,NN,2,0,abus,abus,abus,24.75929823552007
abuses,2,6,7.118881766052188e-06,17.099917928872767,VBZ,1,0,abus,abus,abus,14.379649117760035
abyss,1,5,3.559440883026094e-06,18.099917928872767,NN,1,0,abyss,abyss,abyss,8.189824558880018
academe,3,7,1.0678322649078282e-05,16.514955428151612,NN,1,0,academ,academ,academ,14.379649117760035
academes,1,8,3.559440883026094e-06,18.099917928872767,NNS,1,0,academ,academ,academ,8.189824558880018
academia,1,8,3.559440883026094e-06,18.099917928872767,NN,1,0,academia,academia,academ,8.189824558880018
academics,1,9,3.559440883026094e-06,18.099917928872767,NNS,1,0,academ,academ,academ,8.189824558880018
academy,10,7,3.5594408830260944e-05,14.777989833985403,NN,3,0,academi,academi,academy,37.67728745775689
academys,1,8,3.559440883026094e-06,18.099917928872767,NN,1,0,academi,academi,academy,8.189824558880018
accent,36,6,0.0001281398717889,12.929992927430456,NN,2,0,accent,accent,acc,92.7433005313468
accented,8,8,2.8475527064208752e-05,15.099917928872769,VBN,3,0,accent,accent,acc,33.62917234895316
accenting,2,9,7.118881766052188e-06,17.099917928872767,VBG,1,0,accent,accent,acc,14.379649117760035
accents,11,7,3.915384971328704e-05,14.64048631023547,NNS,2,0,accent,accent,acc,52.034322342669924
accentuate,3,10,1.0678322649078282e-05,16.514955428151612,VB,2,0,accentu,accentu,accentu,19.81458617447658
accentuated,4,11,1.4237763532104376e-05,16.099917928872767,VBN,2,0,accentu,accentu,accentu,19.81458617447658
accentuates,5,11,1.7797204415130472e-05,15.777989833985403,VBZ,2,0,accentu,accentu,accentu,29.339482319963274
accept,19,6,6.762937677749579e-05,13.851990415429182,VB,5,0,accept,accept,acceiv,67.03719294208028
acceptance,8,10,2.8475527064208752e-05,15.099917928872769,NN,1,0,accept,accept,acceiv,37.67728745775689
accepted,6,8,2.1356645298156564e-05,15.51495542815161,VBD,3,0,accept,accept,acceiv,24.75929823552007
accepting,1,9,3.559440883026094e-06,18.099917928872767,VBG,1,0,accept,accept,acceiv,8.189824558880018
accepts,5,7,1.7797204415130472e-05,15.777989833985403,VBZ,2,0,accept,accept,acceiv,29.339482319963274
access,5,6,1.7797204415130472e-05,15.777989833985403,NN,1,0,access,access,access,29.339482319963274
accessed,1,8,3.559440883026094e-06,18.099917928872767,VBN,1,0,access,access,access,8.189824558880018
accessibility,2,13,7.118881766052188e-06,17.099917928872767,NN,1,0,access,access,access,14.379649117760035
accessories,3,11,1.0678322649078282e-05,16.514955428151612,NNS,1,0,accessori,accessori,access,19.81458617447658
accessorizes,1,12,3.559440883026094e-06,18.099917928872767,VBZ,1,0,accessor,accessor,access,8.189824558880018
