term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
performances,-0.060954224727200274,0.024195297320147986,-0.0006014447683897448,0.01484460489539703,-0.0014427509424690562,0.014445128189544904,0.015440728582732814,0.0019741116635921784,0.07113024745248016,-0.019878721395771723
story,-0.0641579967635989,0.02922874424339733,-0.009884264384216685,0.04998771625226245,0.00472602455961511,0.03575058103069839,-0.030602710703062717,0.0622387366951211,0.05531350794101035,-0.06655697079775501
sense,-0.06073032633226888,0.04261119822225373,-0.02861481331148118,0.033256423114106995,0.014786376760504281,0.033888460873730694,-0.005978739134170782,0.004104845145710943,0.00885660984393627,-0.0270449223393677
designer,-0.056471399513459294,-0.006932237680247755,-0.005899308986938056,-0.03754809999825097,-0.051363275220239604,-0.06500975169378248,0.054877537737811975,-0.005595084555323083,-0.008912432583122243,-0.015855727121624873
text,-0.06522449191719215,0.02616918916261446,-0.004813937239457795,0.0039829603187927845,0.02609453216366074,0.0482284392588162,-0.022437824743640422,-0.020492727047311185,0.09193853698110271,-0.005705678857633109
something,-0.05169673050245196,-0.006126478887338055,0.0025408345757934395,-0.005882998959926444,0.023348172044734855,0.020317461471970194,-0.03663098229226755,0.022675131279797974,-0.008086094510977304,-0.002847488309234314
world,-0.05913681077599425,0.007785505523349653,-0.017787515535137258,0.031205972869922105,-0.012017256752366513,-0.0007299962101129376,-0.026112055719921312,-0.002444619955074787,-0.011489651416655686,0.03879118405047437
roles,-0.058399257573528686,-0.0012780878460576985,-0.003131524649439721,-0.0057715709645097535,-0.03159988207956521,0.02476170360727528,0.0009421996225201998,0.006973925073158651,0.06222485786562404,0.017830311969425465
place,-0.054654265111636666,-0.0034018078044505,-0.0021111320246245957,-0.015507974769446875,-0.025087696077415185,0.0039163597642065395,0.0034229696776103824,-0.0009049802211217213,0.010526577937683246,-0.02051321898571825
act,-0.056213337821303784,0.029174836515532314,-0.037937994233984806,0.011978810418021714,0.017050184088495998,-0.016017935733946054,0.04133450401954891,-0.006499730456732404,-0.04720040699851061,-0.002919004174634837
words,-0.05929846254340265,0.014081032578237975,-0.025151134713136902,0.031222972690246376,0.034290905606634586,0.030912307768508854,0.02374744125636241,-0.011975819344694591,-0.028565300049936404,0.018969980304775123
night,-0.08219219668785238,0.017104417528000758,0.12972401313077406,-0.13244127236209294,0.10464895171382191,-0.011379500415763744,-0.01525090623430514,0.02191484472178677,0.02172157330981904,0.03425709864505635
man,-0.06656719564728054,0.018715709105177187,0.03850137442941785,-0.014554610809940027,0.000535866745565293,-0.0277731173290513,-0.009714928425099745,0.017741367087536784,-0.06415414396340019,0.01783850318191732
costumes,-0.05593758364757725,-0.004318809521184272,0.008205574451426327,0.009085369116673903,-0.05334278849921137,-0.03195356248871184,0.013679890136575196,-0.025888946480321893,0.009038092539277232,0.005574223058166426
action,-0.0565526077519094,-0.003976789947954737,-0.004903323245321538,0.011168269245002492,0.002992788873080715,0.02580289575676939,0.020885881935887425,0.029173939361889948,-0.01732722943700779,-0.020239582203963852
moment,-0.06346744918413942,0.02080955604151544,-0.014849067479247635,0.01748542738066576,0.04949824406487141,0.037886980824751816,-0.04154113143005859,0.03895594618809552,-0.04559085909227696,-0.012065281888611945
look,-0.05199542323372306,-0.0015777993148328047,-0.021799399199027965,-0.015331962531222345,-0.00775114149529621,0.027246458942311064,-0.022120333226978456,-0.0013766869039320284,0.011145324253778188,0.01165973803077057
dress,-0.050413304248116735,-0.0008985624856805571,0.015628853634938305,-0.008121299182445486,-0.012491593168102999,-0.050127310229989806,0.08148314339750665,0.019912106643344127,-0.0024643766628452274,-0.08248963095801595
times,-0.05299358103546128,0.01721517817281439,-0.02676910444217016,0.01700352110738647,0.014401539260527452,0.0022530930935877186,-0.03675126197678647,-0.006035347582205988,-0.012746307105920458,0.047107773784780094
life,-0.05195634313461921,-0.0006871943990967024,0.01647970857233369,0.03675672550595487,-0.022456138052618646,-0.022692512282446647,0.011820993453253714,0.015657079353559755,-0.03549939297007462,-0.010527422814643472
moments,-0.05977858704779141,0.046378183815609604,0.011663622076722932,0.028604481337348234,0.010777907347332832,-0.02267284411488002,-0.010753253523367368,0.019355259891115417,-0.02012964473658812,-0.006029429413869275
actor,-0.05750137539670691,-0.007691051069615194,0.01790201487905429,-0.02037870052588939,0.013363078133015682,0.010212910893048266,-0.06361569336356016,0.008359326891800217,0.002421681085266858,0.033230533118083605
work,-0.05723340391608778,0.012220571402121011,-0.020070899631671187,0.0013793393940947547,0.008109934938328761,0.010855242506670193,-0.007733818458176056,-0.0019964259388021155,0.014429794599213022,0.008774716885680656
point,-0.052658500373970116,0.00692386161967859,-0.006240568008184536,-0.013246532283851942,0.009932955257634955,0.047926830867759174,-0.01269612419852817,0.016287836444976334,0.012498273434188786,-0.01760838335191356
use,-0.053370597287298954,0.015713981372150337,-0.026138844278792504,0.006160554292268426,-0.014165634312902704,0.016344546525928455,0.0015549057130001265,0.006784372621268575,0.05741755034341207,-0.010153133779643664
death,-0.06748604179027287,0.03185462086273487,-0.04751050105653918,0.024395690485063137,0.008663227273224813,0.06435149241893023,0.043445274981644105,0.07272269925979025,-0.03411634312056452,-0.07304348162679408
costume,-0.04708936929212502,-0.005925604000571037,0.015653700748594637,-0.01585985045602504,-0.011276873272549467,-0.018560394656627163,0.03409352303130565,0.002616989742782766,-0.004984401428357259,-0.005656861533312463
part,-0.06157004639738799,0.002124287076123419,0.00863292084710803,-0.012114632872844823,0.026190123003085583,0.01946037457211437,-0.000984507859021106,0.015702236776549052,-0.01956864153559344,-0.011069753073836461
company,-0.06967468743884345,0.006579995671360913,0.004557933445428279,-0.011749647583330329,-0.03717265945768425,0.046966058648913823,-0.05082094296828658,0.0006847462876132314,0.006476610899897303,0.07519169970500898
comedy,-0.06237077020958917,-0.03498297044700447,0.08975386248781893,-0.01080415958628729,-0.019399771851410064,0.025535930035704105,-0.012264957496250806,-0.09120938370674844,0.030042918681793172,-0.00794013627782585
theater,-0.0695547258379378,-0.02247831730531155,-0.01696371252898315,-0.023054531175668212,-0.002331736362448022,-0.00044090006290538667,0.025079131491467437,0.004103258014399669,0.05605008161992034,0.0494062396534043
lovers,-0.07694663575420176,-0.1766419484162861,-0.04369038367188352,0.02015068496299756,0.036464487169654475,0.029222343427663545,0.05191686107705512,0.05384627641500788,0.014555850149171457,-0.084608951263308
opening,-0.051673871340101256,0.02761723714256023,-0.006724167930289931,-0.025378317384821318,0.008984011274177172,0.019528148713770233,-0.05921866668556013,0.024243943321049823,-0.016435333833841406,-0.006141270440751256
end,-0.05894382117360901,0.004325340804153172,-0.0055834892393536685,0.0021768571432991945,0.03011382289655723,-0.004936727837147582,0.003547795253810572,0.012104168307891024,0.002152574266755805,-0.010161315862783293
hand,-0.05287460614023043,0.007882520924093658,0.008421252829553909,-0.021588730432349924,0.046610024133754355,-0.0032847807884542938,0.004828782285756344,0.0151351966197211,-0.03363093217356151,-0.0355830696715243
direction,-0.04327128367945956,0.019001730417996455,-0.00515002661980588,0.01113547982867217,-0.01697813715029283,-0.008553724952313138,0.001217217058708953,0.0029786528137968208,-0.005042554882819557,0.024370468021978082
space,-0.057118104443398744,0.007381306624822866,-0.017254788866294855,0.04477623563108864,-0.015751157753391375,0.044179591256695,-0.0071767995643308175,0.024328321872406158,0.0015271500302520946,0.06159813284835839
years,-0.05190995473555996,0.011460412645613602,0.00135944341608974,0.022187082458379737,0.0015788739742605689,0.017325831917132346,-0.016447340123807042,0.013385552725516323,-0.025669828108755545,0.010456880864508545
lines,-0.055976301268005575,0.017497009521688683,-0.017847090599971888,-0.003214658040583219,0.01412212951118417,0.008907952844973963,0.006715046928657223,0.003946573925799464,-0.020667588455550976,0.03431644222353883
productions,-0.065935447464856,-0.00075963921153665,-0.015780461455406375,0.00028251237530207046,0.007569595731391744,-0.003948182773691792,0.035991373418699256,0.013697091924774227,0.053545278584684365,0.012827621099258418
bit,-0.0540758188743459,-0.022524980873588386,0.002793475923501294,0.00029379024961562856,0.016417979185208098,0.028553230691739016,-0.03571492367407808,0.014557906280231125,-0.02464793857862313,-0.021093773265691944
line,-0.056109272401080726,0.0020644661270755207,0.010762608489019276,0.003481738999673148,0.012130198097690403,0.046492474202878255,-0.025597223199686818,-0.015769747297559863,0.0016643823154335992,0.0022505450362023324
music,-0.06242197177037768,0.00010002077471692495,0.04882517329233452,0.009729332441253515,-0.00672781201242131,-0.020814939873295458,0.014957065896223832,0.004725940825528499,-0.015611866876243852,-0.0014908355278765114
king,-0.073350627741342,0.025041885218217153,-0.00930825780825975,-0.05662516625901245,-0.11503106498835385,0.0990970325102862,0.04571814865529698,-0.15358375919825074,-0.07519155090062342,-0.06935538329826563
role,-0.06629678932132481,0.017063442034752397,0.0034834702460580296,-0.0007303030910041791,0.020251546079637632,0.03217718824501222,-0.04712570867629027,-0.025460922539776006,-0.040198472404816755,0.0350465078392326
staging,-0.050986940420364,-0.0005383457397434299,0.0004325522173089792,0.01023383320461313,-0.017043544205368195,0.03526583818875435,-0.006426461405412566,0.011114703138044317,-0.017201989053075607,0.03396240657714604
design,-0.06886335265199908,0.0071199370778626675,-0.0037877075284403015,0.023726096258217685,0.004704449298133829,-0.03861058570250247,0.06599290373883362,0.016653252298739107,-0.017051049472711657,-0.004850557538084626
head,-0.045871878349011797,-0.009026545673279278,-0.010428238312133957,-0.016776257100413645,-0.003976954568702135,-0.013477556419011326,-0.0053308249280764625,-0.016592338421602675,-0.023796029942899845,-0.01639875333999038
woman,-0.05551282576713127,0.01614036719566421,0.05021867500450987,-0.024393660459128646,0.017561204315432326,-0.0014675731348713335,-0.03211733464847922,0.011749201059795024,-0.049451564417679054,-0.0219793249494264
sound,-0.04758706191803628,-0.008578866779756689,-0.013632674976081598,-0.0211046516654596,0.020804725048824833,-0.021370099171391745,-0.010326358154250896,0.006053248392782669,0.006271853116823447,0.02786405396717329
men,-0.056848710073714885,0.015107521406533214,0.00022982690448105993,0.009479202184915717,-0.08995647727908267,0.008902728824874535,0.03727721154560313,-0.08820648460411194,0.03977791866083059,0.0865957654115643
plot,-0.05125531148146264,0.006455619995233522,0.016858919586875108,-0.0058565359245642,0.03428232141831145,0.0069661159878316795,-0.02001759904934249,0.0035587956092226697,0.054876655802776904,0.017145140337864635
